"filename", "language", "HTML", "XML", "JavaScript", "CSS", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\core.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 19, 16, 171
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\inlines.js", "JavaScript", 0, 0, 259, 0, 0, 0, 0, 0, 59, 27, 345
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\jquery.init.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 1, 7, 103
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\popup_response.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\prepopulate.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\urlify.js", "JavaScript", 0, 0, 160, 0, 0, 0, 0, 0, 5, 6, 171
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 6895, 0, 0, 0, 0, 0, 1911, 2076, 10882
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\da.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\de.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\el.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
